Real_Time,Temp_C,Cond_uScm-1,CellVoltage,StateofCharge,ErrorCode
946684806,0.00,0.00,3.86,57.26,0
946684823,23.20,0.00,3.94,57.26,0
946684842,24.66,0.00,3.94,57.26,0
946684862,24.82,0.00,3.95,57.26,0
946684882,24.57,0.00,3.95,57.26,0
946684903,24.61,0.00,3.95,57.26,0
946684923,24.63,0.00,3.95,57.26,0
946684942,24.62,0.00,3.95,57.26,0
946684962,24.60,0.00,3.96,57.26,0
946684982,24.47,0.00,3.96,57.26,0
946685003,24.47,0.00,3.96,57.58,0
946685023,24.33,0.00,3.96,57.58,0
946685043,24.34,0.00,3.96,57.58,0
946685062,24.35,0.00,3.96,57.58,0
946685082,24.50,0.00,3.96,57.58,0
946685103,24.86,0.00,3.96,57.58,0
946685123,25.24,0.00,3.96,57.58,0
946685143,25.39,0.00,3.96,57.58,0
946685163,25.36,0.00,3.97,57.89,0
946685182,27.51,0.00,3.97,57.89,0
946685202,28.35,0.00,3.97,57.89,0
946685223,23.25,13950.00,3.97,57.89,0
946685243,23.42,13990.00,3.97,57.89,0
946685263,23.51,13990.00,3.97,57.89,0
946685282,23.60,13980.00,3.97,57.89,0
946685302,23.59,13980.00,3.97,58.21,0
946685322,23.67,13980.00,3.97,58.21,0
946685343,23.68,13980.00,3.97,58.21,0
946685363,23.50,13990.00,3.98,58.21,0
946685382,23.74,13990.00,3.98,58.21,0
946685402,23.70,13990.00,3.98,58.21,0
946685422,23.56,14000.00,3.98,58.21,0
946685442,23.75,14000.00,3.98,58.53,0
946685463,23.55,14000.00,3.98,58.53,0
946685483,23.51,14000.00,3.98,58.53,0
946685503,23.68,14010.00,3.98,58.53,0
946685522,23.67,14010.00,3.98,58.53,0
946685542,24.29,12890.00,3.98,58.53,0
946685563,22.95,0.00,3.98,58.53,0
946685583,23.32,0.00,3.98,58.84,0
946685603,24.72,74700.00,3.99,58.84,0
946685622,24.04,75620.00,3.99,58.84,0
946685642,24.17,75680.00,3.99,58.84,0
946685662,24.09,75800.00,3.99,58.84,0
946685683,24.09,75980.00,3.99,58.84,0
946685703,23.92,75990.00,3.99,58.84,0
946685722,24.14,76090.00,3.99,59.16,0
946685742,23.98,76000.00,3.99,59.16,0
946685762,24.03,76210.00,3.99,59.16,0
946685783,24.01,76280.00,3.99,59.16,0
946685803,24.01,76260.00,3.99,59.16,0
946685823,24.02,76310.00,3.99,59.16,0
946685842,24.05,76330.00,3.99,59.48,0
946685862,24.04,76430.00,3.99,59.48,0
946685882,24.02,76380.00,4.00,59.48,0
946685902,24.16,76400.00,4.00,59.48,0
946685923,24.00,76320.00,4.00,59.48,0
946685943,24.12,76450.00,4.00,59.48,0
946685963,25.21,0.00,4.00,59.79,0
